,,,,,,,,
,,,,,,,,
,BOMBAY,STOCK,EXCHANGE,LTD,MUMBAI.,Settlement,No.196,Date:06/01/2011
================================================================================,,,,,,,,
,Scrip,Scrip,Quantity,Scrip,Scrip,Quantity,,
,Code,Name,Code,Name,,,,
================================================================================,,,,,,,,
532628,3IINFOTECH,173,,,,,,
524348,AARTIDR,50,,,,,,
523204,ABANOFFSH,58,,,,,,
520155,ABG,10,,,,,,
521064,ABHIIND,400,,,,,,
532762,ACE,549,,,,,,
530901,ACIL,50000,,,,,,
533096,ADANIPOWER,2,,,,,,
519183,ADFFOODQ,628,,,,,,
530707,AFTEKLTD,100,,,,,,
526707,ALCHEMIST,5,,,,,,
521070,ALOKIND,1368,,,,,,
532309,ALSTOMPROJ,35,,,,,,
500009,AMBALALSA,1000,,,,,,
532282,AMTEKIN,1,,,,,,
530721,ANGIND,71,,,,,,
532981,ANULABS,600,,,,,,
523537,APMIN,10,,,,,,
502330,APPAPER,133,,,,,,
532475,APTECH,200,,,,,,
532212,ARCHIES,751,,,,,,
506074,ARSHIYA,57,,,,,,
532489,ARVINPRO,200,,,,,,
527001,ASHAPURA,2000,,,,,,
500477,ASHOKLEY,20,,,,,,
500023,ASIANHOT,20,,,,,,
532493,ASTRAMIC,350,,,,,,
505029,ATLAS,50,,,,,,
533016,AUSTRAL,751,,,,,,
532215,AXISBANK,15,,,,,,
532977,BAJAJAUT,22,,,,,,
500034,BAJFINANC,5,,,,,,
500042,BASF,20,,,,,,
500045,BELLARYS,13401,,,,,,
509480,BERGEPAINT,100,,,,,,
532454,BHARTIARTL,165,,,,,,
500055,BHUSSTEEL,2,,,,,,
500058,BIHSPONG,200,,,,,,
533006,BIRLACOT,1,,,,,,
506197,BLISSGVS,500,,,,,,
523457,BOCINDIA,2,,,,,,
532929,BRIGADE,25,,,,,,
533276,BSTRANSCOM,288,,,,,,
500078,CAMPHOR,100,,,,,,
511196,CANFINHOME,5,,,,,,
533272,CEBBCO,300,,,,,,
517544,CENTUM,1,,,,,,
511696,CHRTEDCA,40,,,,,,
532210,CITYUNIONBK,51,,,,,,
517326,CMC,50,,,,,,
526141,COMDI,20,,,,,,
531460,CONTICON,125,,,,,,
533167,COROENGG,1,,,,,,
500093,CROMPTON,10,,,,,,
533160,DBREALTY,10,,,,,,
532858,DECOLIGHT,102,,,,,,
532848,DELTACORP,61,,,,,,
511072,DEWANHOUS,1,,,,,,
532839,DISHTV,110,,,,,,
511636,DJSSS,1,,,,,,
517973,DMCEDU,310,,,,,,
500124,DRREDDY,22,,,,,,
523732,ECOBOAR,1000,,,,,,
500125,EIDPARRY,10,,,,,,
532684,EKC,35,,,,,,
531162,EMAMI,5,,,,,,
500132,EMPSC,25,,,,,,
533149,ESSARSEC,2,,,,,,
500469,FEDBANK,422,,,,,,
532768,FIEMIND,25,,,,,,
532155,GAIL,73,,,,,,
532183,GAYATRI,193,,,,,,
532622,GDL,5,,,,,,
530743,GEINDSYS,100,,,,,,
532312,GEOMETRIC,78,,,,,,
511676,GICHF,1,,,,,,
532715,GITANJALI,21,,,,,,
500660,GLAXOPHARMA,8,,,,,,
513528,GLITTEKG,100,,,,,,
532857,GLORY,1100,,,,,,
507488,GMBREW,208,,,,,,
532754,GMRINFRA,100,,,,,,
532424,GODREJCP,42,,,,,,
590095,GOLDBEES,3,,,,,,
500300,GRASIM,7,,,,,,
532015,GRAVITY,50,,,,,,
500690,GSFC,2,,,,,,
532951,GSSAMERI,293,,,,,,
522217,GUJAPOIND,502,,,,,,
500173,GUJFLUORO,50,,,,,,
570003,GUJNREBDVR,450,,,,,,
523277,GVFILM,17261,,,,,,
500177,HANILERA,100,,,,,,
500467,HARRMAL,24,,,,,,
