"Tentative list of securities to be auctioned in A 2011019 to be held on Feb 02, 2011.",,,,
S,No,Symbol,Series,Quantity
1,ABAN,EQ,4,
2,ABB,EQ,25,
3,ABHISHEK,EQ,513,
4,ABIRLANUVO,EQ,259,
5,ACC,EQ,81,
6,ACE,EQ,405,
7,ADHUNIK,EQ,2042,
8,ADVANTA,EQ,25,
9,AEGISCHEM,EQ,2,
10,AGRE,EQ,963,
11,AJANTPHARM,EQ,1362,
12,ALBK,EQ,7,
13,ALEMBICLTD,EQ,100,
14,ALLCARGO,EQ,16,
15,ALOKTEXT,EQ,6151,
16,ALPSINDUS,EQ,3,
17,AMAR,EQ,1,
18,AMBIKCO,EQ,1,
19,AMTEKINDIA,EQ,1107,
20,ANANTRAJ,EQ,76,
21,ANDHRABANK,EQ,1835,
22,ANDHRACEMT,EQ,190,
23,ANSALAPI,EQ,79,
24,APOLLOHOSP,EQ,15,
25,ARCHIDPLY,EQ,25,
26,AREVAT&D,EQ,2,
27,ARVIND,EQ,3673,
28,ASHOKA,EQ,99,
29,ASHOKLEY,EQ,129,
30,ASTEC,EQ,249,
31,ASTRAMICRO,EQ,10,
32,ATUL,EQ,51,
33,AVENTIS,EQ,5,
34,AXISBANK,EQ,25,
35,AXISGOLD,EQ,4,
36,BAGFILMS,EQ,200,
37,BAJAJ-AUTO,EQ,17,
38,BAJAJHLDNG,EQ,10,
39,BALAJITELE,EQ,1500,
40,BALAMINES,EQ,500,
41,BALKRISIND,EQ,200,
42,BALLARPUR,EQ,20,
43,BALMLAWRIE,EQ,102,
44,BANKINDIA,EQ,25,
45,BANSWRAS,EQ,66,
46,BFUTILITIE,EQ,30,
47,BHARATFORG,EQ,20,
48,BHARTIARTL,EQ,54,
49,BHEL,EQ,647,
50,BILPOWER,EQ,10,
51,BINANICEM,EQ,95,
52,BINANIIND,EQ,298,
53,BINDALAGRO,EQ,1530,
54,BIOCON,EQ,136,
55,BIRLAPOWER,EQ,1000,
56,BLKASHYAP,EQ,100,
57,BOMDYEING,EQ,206,
