        ,              ZEN SECURITIES LTD,,,,,1-Mar-11,
      FAO SCRIP WISE MARGIN STATUS  E.O.D 28-02-2011,,,,,,,
SL NO,Symbol,M lot,MARGIN FOR,MARGIN FOR,CHANGE,MARGIN PER,PREVIOUS
,,,25-Feb-11,28-Feb-11,,LOT ,CLOSING PRICE
,,,( % ),( % ),( % ),(APPROX),
1,3IINFOTECH,4000,29,29,0,46513,40.45
2,ABAN,250,31,30,-1,41981,550.6
3,ABB,250,23,22,-1,37067,662.1
4,ABGSHIP,1000,24,24,0,82277,349.1
5,ABIRLANUVO,250,20,20,0,38245,776.65
6,ACC,250,20,20,0,47205,928.9
7,ADANIENT,500,21,21,0,63963,613.4
8,ADANIPOWER,2000,20,20,0,47081,119.45
9,ALBK,1000,23,22,-1,43706,199.3
10,ALOKTEXT,10000,32,31,-1,65062,20.8
11,AMBUJACEM,2000,20,21,1,50038,116.9
12,ANDHRABANK,2000,21,21,0,56825,136.8
13,APIL,500,23,23,0,58552,511.85
14,APOLLOTYRE,4000,30,30,0,63150,52.6
15,AREVAT&D,1000,27,27,0,74044,278.9
16,ASHOKLEY,4000,25,24,-1,45200,47.2
17,ASIANPAINT,125,20,20,0,59286,2407.6
18,AUROPHARMA,1250,40,39,-1,83859,170.6
19,AXISBANK,250,23,22,-1,68643,1225.95
20,BAJAJ-AUTO,250,20,20,0,62766,1276.65
21,BAJAJHIND,2000,29,29,0,38819,67.95
22,BAJAJHLDNG,250,20,20,0,37534,763.6
23,BALRAMCHIN,4000,27,26,-1,70200,66.4
24,BANKBARODA,250,22,21,-1,46180,872.35
25,BANKINDIA,500,26,25,-1,54941,437.3
26,BANKNIFTY,25,15,15,0,38309,10443
27,BATAINDIA,1000,23,23,0,78428,344.25
28,BEL,125,20,20,0,41025,1670.2
29,BEML,250,31,30,-1,47055,622.75
30,BGRENERGY,250,29,32,3,33299,410.8
31,BHARATFORG,1000,20,20,0,60688,308.6
32,BHARTIARTL,1000,20,20,0,65447,332.15
33,BHEL,125,20,20,0,49395,2004.35
34,BHUSANSTL,500,24,24,0,45120,377.65
35,BIOCON,1000,22,22,0,67828,312.05
36,BOMDYEING,500,34,33,-1,53983,327.25
37,BOSCHLTD,125,20,20,0,147702,5961.5
38,BPCL,500,20,21,1,57003,554.5
39,BRFL,1000,20,20,0,49097,248.75
40,CAIRN,1000,20,20,0,67094,340.3
41,CANBK,500,23,24,1,73456,606.8
42,CENTRALBK,1000,24,25,1,39013,155
43,CENTURYTEX,500,28,28,0,42284,305.9
44,CESC,500,24,23,-1,35261,300.95
45,CHAMBLFERT,4000,25,25,0,67500,67.8
46,CHENNPETRO,1000,20,20,0,37081,188.3
47,CIPLA,1000,20,20,0,59194,298.9
48,CNXIT,50,13,13,0,42347,6675.65
49,COLPAL,250,20,20,0,40523,821.3
50,CONCOR,250,20,20,0,54901,1113.45
51,COREPROTEC,1000,30,29,-1,82547,279.95
52,CROMPGREAV,1000,24,23,-1,56728,246.05
53,CUMMINSIND,500,21,21,0,68467,652.35
54,DABUR,2000,20,20,0,39519,99.35
55,DCB,4000,27,26,-1,45125,42.9
56,DCHL,2000,34,35,1,39769,57.55
57,DENABANK,2000,27,27,0,51350,95.4
58,DISHTV,4000,26,25,-1,59725,58.9
59,DIVISLAB,500,20,20,0,58281,591
60,DLF,1000,23,22,-1,46463,209
61,DRREDDY,250,20,20,0,76066,1532.4
62,EDUCOMP,500,28,29,1,68356,469.4
63,EKC,2000,31,31,0,41925,68.6
64,ESCORTS,1000,28,28,0,31619,113.7
65,ESSAROIL,2000,28,28,0,59138,107.1
66,EXIDEIND,2000,22,21,-1,57688,135.5
67,FEDERALBNK,1000,20,21,1,74403,350.25
68,FINANTECH,250,22,22,0,43205,773.7
69,FORTIS,2000,20,20,0,57850,146.8
70,FSL,8000,33,32,-1,41475,16.35
71,GAIL,500,20,20,0,42213,429.2
72,GESHIP,1000,22,22,0,55834,255.75
73,GLAXO,125,20,20,0,54327,2188.1
74,GMDCLTD,2000,23,23,0,53375,115.4
75,GMRINFRA,4000,35,34,-1,56813,41.45
76,GODREJIND,1000,24,24,0,38466,162.25
77,GRASIM,125,20,20,0,55757,2269.95
78,GSPL,2000,21,21,0,37869,90.35
79,GTL,500,20,20,0,41019,417.4
80,GTLINFRA,8000,20,20,0,57600,36.2
81,GTOFFSHORE,1000,29,29,0,66172,229.95
82,GVKPIL,8000,30,30,0,62800,26.6
83,HAVELLS,500,22,22,0,34766,319.1
84,HCC,4000,28,27,-1,37115,34.1
85,HCLTECH,500,20,20,0,43738,443.6
86,HDFC,500,21,21,0,66084,632.7
87,HDFCBANK,125,20,20,0,50632,2051.35
88,HDIL,1000,33,33,0,51672,157.95
89,HEROHONDA,125,24,24,0,43813,1466.8
90,HEXAWARE,8000,30,30,0,126700,53.4
91,HINDALCO,2000,22,22,0,88225,201.8
92,HINDOILEXP,1000,28,28,0,44441,159.25
93,HINDPETRO,500,21,21,0,33583,321.45
94,HINDUNILVR,1000,20,20,0,55675,281.2
95,HINDZINC,250,20,20,0,62069,1240.2
96,HOTELEELA,4000,20,20,0,29375,36.5
97,IBREALEST,2000,25,25,0,52265,104.3
98,ICICIBANK,250,23,22,-1,54150,976.2
99,IDBI,2000,23,23,0,60362,130.9
100,IDEA,4000,21,21,0,48263,57.45
101,IDFC,2000,26,26,0,76794,145.15
102,IFCI,4000,26,25,-1,50475,50.3
103,IGL,1000,20,20,0,57316,291.25
104,INDHOTEL,2000,24,23,-1,36931,79.05
105,INDIACEM,2000,23,23,0,40338,85.9
106,INDIAINFO,2000,27,27,0,38990,73.5
107,INDIANB,1000,22,21,-1,44103,205.65
108,INDUSINDBK,1000,23,22,-1,48947,220.55
109,INFOSYSTCH,125,20,20,0,74008,3005.8
110,IOB,2000,23,24,1,63125,132.8
111,IOC,500,20,20,0,29575,300.2
112,IRB,1000,30,30,0,54925,185.6
113,ISPATIND,10000,28,27,-1,61208,22.4
114,ITC,2000,20,23,3,76356,167.65
115,IVRCLINFRA,2000,37,36,-1,49862,69.7
116,JETAIRWAYS,500,34,34,0,70314,417.65
117,JINDALSAW,1000,24,24,0,47356,199.3
118,JINDALSTEL,500,21,21,0,69281,662.2
119,JINDALSWHL,125,37,33,-4,35698,874.8
120,JISLJALEQS,1250,39,41,2,93598,184.1
121,JPASSOCIAT,2000,34,33,-1,51887,77.7
122,JPPOWER,4000,27,27,0,41450,38.4
123,JSWSTEEL,250,28,27,-1,58919,873.4
124,KFA,4000,33,33,0,50559,38
125,KOTAKBANK,500,22,22,0,44038,407.2
126,KSOILS,8000,34,34,0,86372,31.95
127,KTKBANK,2201,25,24,-1,57659,107.55
128,LICHSGFIN,1250,28,28,0,65157,188.65
129,LITL,4000,42,42,0,63990,38.35
130,LT,125,23,22,-1,43037,1532.1
131,LUPIN,1000,23,23,0,87441,383.25
132,M&M,500,23,23,0,70995,618.65
133,MARUTI,250,20,20,0,59235,1182.25
134,MAX,2000,20,20,0,55969,141.95
135,MCDOWELL-N,250,35,34,-1,94077,1113.7
136,MCLEODRUSS,1000,21,21,0,43994,211.9
137,MINIFTY,20,13,13,0,13481,5338.6
138,MLL,4000,33,33,0,46896,35.7
139,MOSERBAER,4000,29,28,-1,44013,38.65
140,MPHASIS,500,58,57,-1,124597,434.4
141,MRF,125,23,23,0,160981,5675.4
142,MRPL,4000,26,25,-1,56788,57.15
143,MTNL,4000,30,29,-1,47550,40.6
144,MUNDRAPORT,2000,21,24,3,66662,138.9
145,NAGARCONST,2000,27,27,0,54881,101.45
146,NAGARFERT,8000,27,26,-1,56000,27
147,NATIONALUM,500,20,20,0,41470,409.45
148,NEYVELILIG,2000,26,25,-1,48481,96.65
149,NFTYMCAP50,75,15,14,-1,24773,2314.35
150,NHPC,8000,21,20,-1,37950,23.3
151,NIFTY,50,13,13,0,33698,5338
152,NMDC,1000,20,20,0,51344,261.25
152,NTPC,1000,20,20,0,33597,170.95
153,OFSS,125,20,20,0,50543,2050.15
154,OIL,250,20,20,0,61052,1237.7
155,ONGC,1000,20,20,0,53406,271.1
156,ONMOBILE,1000,34,33,-1,66581,200.5
157,OPTOCIRCUI,1000,23,23,0,57453,249.45
158,ORBITCORP,2000,34,34,0,32269,47.5
159,ORCHIDCHEM,2000,30,30,0,151389,251.7
160,ORIENTBANK,500,23,23,0,37628,325.9
161,PANTALOONR,500,32,34,2,98994,263.05
162,PATELENG,1000,31,34,3,48197,142.75
163,PATNI,500,20,20,0,44425,451.4
164,PETRONET,2000,23,23,0,50006,110.65
165,PFC,1000,24,23,-1,57197,249.35
166,PIRHEALTH,500,20,20,0,44919,447
167,PNB,250,20,20,0,52184,1046.95
168,POLARIS,2000,31,30,-1,109900,182
169,POWERGRID,2000,20,20,0,39219,99.15
170,PRAJIND,4000,31,30,-1,77700,64.2
171,PTC,2000,31,31,0,50106,81.65
172,PUNJLLOYD,2000,35,35,0,41806,59.65
173,RANBAXY,500,22,23,1,49497,436.5
174,RCOM,2000,31,31,0,52944,86.15
175,RECLTD,1000,28,28,0,65056,236.3
176,RELCAPITAL,500,33,33,0,77756,475.8
177,RELIANCE,250,20,20,0,47536,968.3
178,RELINFRA,250,41,41,0,62501,613.65
179,RELMEDIA,1000,41,41,0,55792,135.55
180,RENUKA,4000,29,29,0,82696,71.55
182,ROLTA,2000,24,24,0,66131,140.65
183,RPOWER,2000,24,24,0,53013,110.5
184,RUCHISOYA,2000,28,27,-1,55325,102.7
185,SAIL,1000,20,20,0,30225,153.4
186,SBIN,125,21,21,0,68051,2624.15
187,SCI,2000,21,20,-1,40331,99.85
188,SESAGOA,1000,21,25,4,65931,262.1
189,SIEMENS,500,21,21,0,87866,845.7
190,SINTEX,2000,26,26,0,75544,147.35
191,SKUMARSYNF,4000,33,34,1,75235,55.8
192,SOBHA,1000,32,31,-1,77019,250.1
193,SREINFRA,3600,37,37,0,55032,41.3
194,SRTRANSFIN,500,20,20,0,73761,750.15
195,STER,2000,22,22,0,71956,164.85
196,STERLINBIO,2000,20,20,0,38856,98.25
197,STRTECH,4000,29,29,0,54800,47.4
198,SUNPHARMA,625,20,20,0,52291,423.25
199,SUNTV,500,26,26,0,52280,400.95
200,SUZLON,4000,28,27,-1,50663,47.05
201,SYNDIBANK,2000,24,23,-1,53825,115
202,TATACHEM,500,20,20,0,31747,321.1
203,TATACOMM,1000,27,27,0,56888,212.6
204,TATAGLOBAL,2000,28,28,0,49869,89.55
205,TATAMOTORS,250,29,28,-1,76139,1078.5
206,TATAMTRDVR,250,27,26,-1,39546,605.95
207,TATAPOWER,250,20,20,0,56782,1150.85
208,TATASTEEL,500,20,20,0,59617,607.35
209,TCS,250,20,20,0,54871,1115.75
210,TECHM,500,25,25,0,79000,644.8
211,TITAN,125,24,23,-1,97226,3338.1
212,TRIVENI,2000,27,27,0,48150,90
213,TTML,9000,27,26,-1,34538,14.8
214,TULIP,2000,28,27,-1,79231,144.65
215,TVSMOTOR,4000,25,24,-1,69388,71.15
216,TV-18,4000,31,32,1,64762,50.85
217,UCOBANK,2000,24,24,0,46169,98.15
218,ULTRACEMCO,250,20,20,0,45963,932.4
219,UNIONBANK,1000,21,21,0,65847,314.55
220,UNIPHOS,2000,24,25,1,67900,136.6
221,UNITECH,4000,35,35,0,47006,33.95
222,VIDEOIND,1000,20,20,0,37431,187.7
223,VIJAYABANK,4000,24,23,-1,70675,76.3
224,VOLTAS,1000,22,22,0,36897,165.35
225,WEL CROP,1000,27,27,0,52318,191.15
226,WIPRO,500,20,20,0,43288,439.4
227,YESBANK,1000,25,24,-1,62375,257.6
228,ZEEL,2000,20,20,0,47056,119.25
