"Tentative list of securities to be auctioned in A 2010225 to be held on Nov 29, 2010."			
S No	Symbol	Series	Quantity
1	3IINFOTECH	EQ	75
2	AARTIIND	EQ	50
3	ABB	EQ	1
4	ABCIL	EQ	5
5	ABGSHIP	EQ	757
6	ACC	EQ	85
7	ADANIPOWER	EQ	33
8	AFL	EQ	153
9	AHMEDFORGE	EQ	30
10	ALBK	EQ	175
11	ALOKTEXT	EQ	1800
12	ALPHAGEO	EQ	70
13	AMAR	EQ	300
14	ANGIND	EQ	15
15	ANKURDRUGS	EQ	202
16	APOLLOHOSP	EQ	101
17	APOLLOTYRE	EQ	6326
18	APTECHT	EQ	7500
19	ARCHIES	EQ	1
20	AREVAT&D	EQ	50
21	ARROWTEX	EQ	810
22	ARVIND	EQ	110
23	ASAHIINDIA	EQ	745
24	ASHAPURMIN	EQ	1
25	ASHOKLEY	EQ	100
26	ASIANELEC	EQ	9000
27	ASTERSILI	EQ	90
28	AUROPHARMA	EQ	120
29	AVENTIS	EQ	1
30	BAJAJ-AUTO	EQ	2
31	BAJAJFINSV	EQ	6
32	BAJAJHIND	EQ	68
33	BALRAMCHIN	EQ	79
34	BANKINDIA	EQ	208
35	BATAINDIA	EQ	21
36	BECREL	EQ	365
37	BELLCERATL	EQ	8
38	BERGEPAINT	EQ	150
39	BFUTILITIE	EQ	54
40	BGRENERGY	EQ	26
41	BHARATFORG	EQ	100
42	BHARATGEAR	EQ	116
43	BHARTIARTL	EQ	222
44	BIL	EQ	9
45	BILPOWER	EQ	25
46	BINDALAGRO	EQ	4342
47	BIRLACORPN	EQ	50
48	BIRLAPOWER	EQ	38134
49	BOC	EQ	5
50	BPCL	EQ	4
51	BRFL	EQ	723
52	BURNPUR	EQ	38
53	CADILAHC	EQ	10
54	CAIRN	EQ	5
55	CANTABIL	EQ	321
56	CEBBCO	EQ	95
57	CENTRALBK	EQ	1623
58	CHAMBLFERT	EQ	1035
59	CHOLAFIN	EQ	27
60	CINEMAX	EQ	100
61	CIPLA	EQ	160
62	COLPAL	EQ	10
63	CONCOR	EQ	13
