"Tentative list of securities to be auctioned in A 2010228 to be held on Dec 02, 2010."			
S No	Symbol	Series	Quantity
1	AARTIDRUGS	EQ	100
2	ABAN	EQ	100
3	ABBOTINDIA	EQ	49
4	ABCIL	EQ	25
5	ABGSHIP	EQ	78
6	ABIRLANUVO	EQ	1
7	ACC	EQ	50
8	ACE	EQ	50
9	ACKRUTI	EQ	51
10	ADANIENT	EQ	15
11	ADANIPOWER	EQ	6
12	AEGISCHEM	EQ	4073
13	AKSHOPTFBR	EQ	25
14	ALCHEM	EQ	100
15	ALMONDZ	EQ	16
16	ALOKTEXT	EQ	662
17	AMAR	EQ	1590
18	AMBIKCO	EQ	200
19	AMBUJACEM	EQ	30
20	AMTEKINDIA	EQ	50
21	ANANTRAJ	EQ	904
22	ANSALHSG	EQ	2
23	APIL	EQ	1
24	APOLLOHOSP	EQ	50
25	APOLLOTYRE	EQ	25
26	AQUA	EQ	500
27	ARSSINFRA	EQ	226
28	ARVIND	EQ	950
29	ASHOKLEY	EQ	5
30	ASTERSILI	EQ	200
31	ASTRAL	EQ	1
32	ATFL	EQ	2
33	AXISBANK	EQ	25
34	BAJAJ-AUTO	EQ	115
35	BAJAJELEC	EQ	1
36	BAJAJFINSV	EQ	10
37	BAJAJHIND	EQ	1
38	BAJFINANCE	EQ	2
39	BALAJITELE	EQ	1
40	BALLARPUR	EQ	200
41	BALMLAWRIE	EQ	2
42	BANCOINDIA	EQ	145
43	BANG	EQ	85
44	BANKINDIA	EQ	1602
45	BASML	EQ	288
46	BEL	EQ	66
47	BEPL	EQ	50
48	BGRENERGY	EQ	530
49	BHARTIARTL	EQ	906
50	BHARTISHIP	EQ	50
51	BHEL	EQ	11
52	BHUSANSTL	EQ	1982
53	BINANICEM	EQ	301
54	BINANIIND	EQ	19
55	BINDALAGRO	EQ	476
56	BLKASHYAP	EQ	100
57	BPCL	EQ	3
58	BRITANNIA	EQ	2
59	CADILAHC	EQ	5
60	CAIRN	EQ	210
61	CALSOFT	EQ	200
62	CAMBRIDGE	EQ	200
63	CAMLIN	EQ	300
64	CANBK	EQ	254
65	CANDC	EQ	2
66	CANFINHOME	EQ	500
67	CANTABIL	EQ	1
68	CARBORUNIV	EQ	42
69	CASTROL	EQ	5
70	CCL	EQ	99
71	CEBBCO	EQ	10
72	CENTRALBK	EQ	59
73	CENTURYTEX	EQ	5
74	CESC	EQ	115
75	CHAMBLFERT	EQ	665
76	CHENNPETRO	EQ	3
77	CIPLA	EQ	299
78	CLNINDIA	EQ	36
79	COALINDIA	EQ	799
80	COREPROTEC	EQ	2
81	CORPBANK	EQ	8
82	COX&KINGS	EQ	95
83	CUB	EQ	3970
84	CUMMINSIND	EQ	21
85	DBCORP	EQ	38
86	DBREALTY	EQ	79
87	DCW	EQ	10
88	DELTACORP	EQ	1766
89	DENABANK	EQ	100
90	DENSO	EQ	67
91	DHANUS	EQ	100
92	DISHMAN	EQ	3
93	DISHTV	EQ	293
94	DIVISLAB	EQ	2
95	DLF	EQ	425
96	DOLPHINOFF	EQ	100
97	DRREDDY	EQ	230
98	DYNAMATECH	EQ	23
99	ECEIND	EQ	1
100	ECLERX	EQ	5
101	EDUCOMP	EQ	70
102	EIDPARRY	EQ	21
103	ELECTCAST	EQ	600
104	ENTEGRA	EQ	500
105	ERAINFRA	EQ	50
106	ESL	EQ	1172
107	ESSAROIL	EQ	190
108	EVERONN	EQ	151
109	EXCELINFO	EQ	88
110	EXIDEIND	EQ	10
111	FACT	EQ	2020
112	FARMAXIND	EQ	1073
113	FEDDERLOYD	EQ	12391
114	FEDERALBNK	EQ	50
115	FIEMIND	EQ	120
116	FINANTECH	EQ	3
117	FIRSTLEASE	EQ	124
118	FMGOETZE	EQ	18
119	FOURSOFT	EQ	3
120	GAIL	EQ	295
121	GAL	EQ	106
122	GALLISPAT	EQ	200
123	GAMMNINFRA	EQ	999
124	GARWOFFS	EQ	1
125	GESHIP	EQ	5
126	GHCL	EQ	1001
127	GLENMARK	EQ	133
128	GLODYNE	EQ	402
129	GLORY	EQ	8
130	GMDCLTD	EQ	50
